window,time
Command Prompt - python  reader.py,2023-12-14 20:17:00
Command Prompt,2023-12-14 20:17:02
Command Prompt - python  reader.py,2023-12-14 20:17:07
Task Switching,2023-12-14 20:17:27
Command Prompt - python  reader.py,2023-12-14 20:17:28
Task Switching,2023-12-14 20:17:32
reader.py - ttracker - Visual Studio Code,2023-12-14 20:17:33
Command Prompt - python  reader.py,2023-12-14 20:17:36
reader.py - ttracker - Visual Studio Code,2023-12-14 20:17:40
Task Switching,2023-12-14 20:17:46
ChatGPT - Google Chrome,2023-12-14 20:17:47
Toby - Google Chrome,2023-12-14 20:17:48
sort dictionary by value python - Google Search - Google Chrome,2023-12-14 20:17:52
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 20:17:55
reader.py - ttracker - Visual Studio Code,2023-12-14 20:18:05
Task Switching,2023-12-14 20:18:11
Command Prompt,2023-12-14 20:18:12
Command Prompt - python  reader.py,2023-12-14 20:18:13
reader.py - ttracker - Visual Studio Code,2023-12-14 20:18:20
Command Prompt - python  reader.py,2023-12-14 20:18:21
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 20:18:22
Toby - Google Chrome,2023-12-14 20:18:29
how to capitalize first letter in python - Google Search - Google Chrome,2023-12-14 20:18:33
Task Switching,2023-12-14 20:18:44
reader.py - ttracker - Visual Studio Code,2023-12-14 20:18:45
Task Switching,2023-12-14 20:18:49
Command Prompt,2023-12-14 20:18:50
Command Prompt - python  reader.py,2023-12-14 20:18:51
reader.py - ttracker - Visual Studio Code,2023-12-14 20:19:01
how to capitalize first letter in python - Google Search - Google Chrome,2023-12-14 20:19:02
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:19:03
Python Dictionaries - Google Chrome,2023-12-14 20:19:04
vs code autosave - Google Search - Google Chrome,2023-12-14 20:19:05
7.1. string — Common string operations — Python 2.7.18 documentation - Google Chrome,2023-12-14 20:19:07
ChatGPT - Google Chrome,2023-12-14 20:19:08
Task Switching,2023-12-14 20:19:09
reader.py - ttracker - Visual Studio Code,2023-12-14 20:19:11
Task Switching,2023-12-14 20:19:12
Command Prompt - python  reader.py,2023-12-14 20:19:13
reader.py - ttracker - Visual Studio Code,2023-12-14 20:19:16
Command Prompt,2023-12-14 20:19:25
Command Prompt - python  reader.py,2023-12-14 20:19:26
Search,2023-12-14 20:19:29
Command Prompt - python  reader.py,2023-12-14 20:19:30
reader.py - ttracker - Visual Studio Code,2023-12-14 20:19:34
Command Prompt - python  reader.py,2023-12-14 20:19:35
Command Prompt,2023-12-14 20:19:37
reader.py - ttracker - Visual Studio Code,2023-12-14 20:19:39
Command Prompt - python  reader.py,2023-12-14 20:19:46
Command Prompt,2023-12-14 20:20:02
Command Prompt - python  reader.py,2023-12-14 20:20:03
Command Prompt,2023-12-14 20:20:06
reader.py - ttracker - Visual Studio Code,2023-12-14 20:20:07
Command Prompt,2023-12-14 20:20:13
Command Prompt - python  reader.py,2023-12-14 20:20:14
Command Prompt,2023-12-14 20:20:17
reader.py - ttracker - Visual Studio Code,2023-12-14 20:20:18
,2023-12-14 20:20:25
Command Prompt,2023-12-14 20:20:26
Task Switching,2023-12-14 20:20:31
ChatGPT - Google Chrome,2023-12-14 20:20:33
Toby - Google Chrome,2023-12-14 20:20:34
window1.csv - Excel,2023-12-14 20:20:36
Microsoft Excel,2023-12-14 20:20:39
sort dictionary by value python - Google Search - Google Chrome,2023-12-14 20:20:41
Command Prompt,2023-12-14 20:20:44
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 20:20:45
Command Prompt,2023-12-14 20:21:05
reader.py - ttracker - Visual Studio Code,2023-12-14 20:21:06
Command Prompt,2023-12-14 20:21:10
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 20:21:11
ChatGPT - Google Chrome,2023-12-14 20:21:12
Task Switching,2023-12-14 20:21:58
reader.py - ttracker - Visual Studio Code,2023-12-14 20:21:59
Task Switching,2023-12-14 20:22:04
Command Prompt,2023-12-14 20:22:05
reader.py - ttracker - Visual Studio Code,2023-12-14 20:22:11
Command Prompt,2023-12-14 20:22:15
ChatGPT - Google Chrome,2023-12-14 20:22:16
Command Prompt,2023-12-14 20:22:27
reader.py - ttracker - Visual Studio Code,2023-12-14 20:22:29
Command Prompt,2023-12-14 20:22:41
reader.py - ttracker - Visual Studio Code,2023-12-14 20:22:42
Command Prompt,2023-12-14 20:22:48
Command Prompt - python  reader.py,2023-12-14 20:22:51
Command Prompt,2023-12-14 20:22:52
reader.py - ttracker - Visual Studio Code,2023-12-14 20:22:59
Task Switching,2023-12-14 20:23:07
Untitled - Google Chrome,2023-12-14 20:23:08
Toby - Google Chrome,2023-12-14 20:23:09
read and write csv python - Google Search - Google Chrome,2023-12-14 20:23:16
Command Prompt,2023-12-14 20:23:32
read and write csv python - Google Search - Google Chrome,2023-12-14 20:23:33
reader.py - ttracker - Visual Studio Code,2023-12-14 20:23:34
script.py - ttracker - Visual Studio Code,2023-12-14 20:23:45
reader.py - ttracker - Visual Studio Code,2023-12-14 20:23:49
read and write csv python - Google Search - Google Chrome,2023-12-14 20:24:13
Toby - Google Chrome,2023-12-14 20:24:14
Projects - Google Chrome,2023-12-14 20:24:15
ChatGPT - Google Chrome,2023-12-14 20:24:16
Projects - Google Chrome,2023-12-14 20:24:59
ChatGPT - Google Chrome,2023-12-14 20:25:00
Task Switching,2023-12-14 20:25:01
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:25:02
Task Switching,2023-12-14 20:25:04
ChatGPT - Google Chrome,2023-12-14 20:25:05
Task Switching,2023-12-14 20:25:49
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:25:50
Search,2023-12-14 20:25:53
WhatsApp,2023-12-14 20:25:54
,2023-12-14 20:25:57
WhatsApp,2023-12-14 20:25:58
Task Switching,2023-12-14 20:26:02
Command Prompt,2023-12-14 20:26:06
Task Switching,2023-12-14 20:26:12
ChatGPT - Google Chrome,2023-12-14 20:26:16
Task Switching,2023-12-14 20:26:54
reader.py - ttracker - Visual Studio Code,2023-12-14 20:26:58
reader1.py - ttracker - Visual Studio Code,2023-12-14 20:27:05
Task Switching,2023-12-14 20:27:10
Command Prompt,2023-12-14 20:27:11
Command Prompt - python  reader1.py,2023-12-14 20:27:13
Command Prompt,2023-12-14 20:27:15
reader1.py - ttracker - Visual Studio Code,2023-12-14 20:27:16
Command Prompt,2023-12-14 20:27:21
Command Prompt - python  reader1.py,2023-12-14 20:27:30
Search,2023-12-14 20:27:42
Command Prompt - python  reader1.py,2023-12-14 20:27:43
Command Prompt,2023-12-14 20:27:46
reader1.py - ttracker - Visual Studio Code,2023-12-14 20:27:47
reader.py - ttracker - Visual Studio Code,2023-12-14 20:27:49
Task Switching,2023-12-14 20:28:08
reader.py - ttracker - Visual Studio Code,2023-12-14 20:28:10
Search,2023-12-14 20:28:11
Command Prompt,2023-12-14 20:28:13
reader.py - ttracker - Visual Studio Code,2023-12-14 20:28:34
window.csv - ttracker - Visual Studio Code,2023-12-14 20:28:39
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:28:40
Command Prompt,2023-12-14 20:28:59
Command Prompt - py  reader.py,2023-12-14 20:29:02
Command Prompt,2023-12-14 20:29:03
Task Switching,2023-12-14 20:29:08
WhatsApp,2023-12-14 20:29:09
Command Prompt,2023-12-14 20:29:38
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:29:39
Task Switching,2023-12-14 20:29:40
Command Prompt,2023-12-14 20:29:41
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:29:50
WhatsApp,2023-12-14 20:29:51
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:31:02
Task Switching,2023-12-14 20:31:03
WhatsApp,2023-12-14 20:31:05
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:31:19
Command Prompt,2023-12-14 20:31:20
WhatsApp,2023-12-14 20:31:27
Command Prompt,2023-12-14 20:31:28
Search,2023-12-14 20:31:35
Command Prompt,2023-12-14 20:31:36
WhatsApp,2023-12-14 20:31:38
Command Prompt,2023-12-14 20:31:48
Task Switching,2023-12-14 20:31:49
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:31:50
Command Prompt,2023-12-14 20:32:49
Task Switching,2023-12-14 20:32:53
Search,2023-12-14 20:32:56
WhatsApp,2023-12-14 20:32:57
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:33:04
Task Switching,2023-12-14 20:34:08
Command Prompt,2023-12-14 20:34:09
Search,2023-12-14 20:34:13
WhatsApp,2023-12-14 20:34:14
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:34:18
,2023-12-14 20:34:50
Windows Default Lock Screen,2023-12-14 20:34:51
UnlockingWindow,2023-12-14 20:38:17
,2023-12-14 20:38:18
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:38:20
Search,2023-12-14 20:38:22
WhatsApp,2023-12-14 20:38:23
Command Prompt,2023-12-14 20:38:26
Command Prompt - py  reader.py,2023-12-14 20:38:27
Command Prompt,2023-12-14 20:38:28
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:38:29
WhatsApp,2023-12-14 20:40:25
,2023-12-14 20:40:28
Task Switching,2023-12-14 20:40:29
Command Prompt,2023-12-14 20:40:30
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:40:38
Task Switching,2023-12-14 20:40:39
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:40:40
,2023-12-14 20:40:42
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:40:43
reader.py - ttracker - Visual Studio Code,2023-12-14 20:40:47
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:40:48
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:40:54
Search,2023-12-14 20:43:13
WhatsApp,2023-12-14 20:43:14
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:43:23
Task Switching,2023-12-14 20:43:24
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:43:28
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:43:37
Search,2023-12-14 20:43:40
Command Prompt,2023-12-14 20:43:41
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:43:57
Task Switching,2023-12-14 20:43:59
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:44:02
Command Prompt,2023-12-14 20:44:03
Task Switching,2023-12-14 20:44:06
Command Prompt,2023-12-14 20:44:07
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:44:20
Command Prompt,2023-12-14 20:44:21
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:44:24
Command Prompt,2023-12-14 20:45:42
Task Switching,2023-12-14 20:45:46
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:45:47
,2023-12-14 20:46:47
Windows Default Lock Screen,2023-12-14 20:46:48
UnlockingWindow,2023-12-14 20:57:25
,2023-12-14 20:57:26
UnlockingWindow,2023-12-14 20:57:27
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:57:28
Command Prompt,2023-12-14 20:57:29
Task Switching,2023-12-14 20:57:33
WhatsApp,2023-12-14 20:57:34
Task Switching,2023-12-14 20:57:35
WhatsApp,2023-12-14 20:57:36
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:57:45
Task Switching,2023-12-14 20:58:21
ChatGPT - Google Chrome,2023-12-14 20:58:23
New Incognito Tab - Google Chrome,2023-12-14 20:58:24
wind chafed - Google Search - Google Chrome,2023-12-14 20:58:28
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 20:58:37
PotPlayer,2023-12-14 21:04:38
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:04:39
Search,2023-12-14 21:04:44
WhatsApp,2023-12-14 21:04:45
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:04:46
WhatsApp,2023-12-14 21:04:47
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:04:56
WhatsApp,2023-12-14 21:04:57
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:05:10
Task Switching,2023-12-14 21:05:12
WhatsApp,2023-12-14 21:05:13
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:05:24
WhatsApp,2023-12-14 21:05:33
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:06:44
Search,2023-12-14 21:07:09
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:07:10
Task Switching,2023-12-14 21:07:13
WhatsApp,2023-12-14 21:07:14
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:07:37
WhatsApp,2023-12-14 21:07:38
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:10:29
WhatsApp,2023-12-14 21:10:32
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:10:34
WhatsApp,2023-12-14 21:10:45
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:12:11
Task Switching,2023-12-14 21:12:13
Command Prompt,2023-12-14 21:12:14
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:12:17
Command Prompt,2023-12-14 21:12:18
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:12:20
Command Prompt,2023-12-14 21:12:50
Task Switching,2023-12-14 21:12:51
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:12:53
Command Prompt,2023-12-14 21:12:54
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:12:55
reader.py - ttracker - Visual Studio Code,2023-12-14 21:12:56
Command Prompt,2023-12-14 21:12:57
Command Prompt - py  reader.py,2023-12-14 21:13:48
Command Prompt,2023-12-14 21:13:50
Task Switching,2023-12-14 21:14:08
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:14:09
Command Prompt,2023-12-14 21:14:12
Task Switching,2023-12-14 21:14:20
Command Prompt,2023-12-14 21:14:22
Search,2023-12-14 21:14:39
,2023-12-14 21:14:40
*info.txt - Notepad,2023-12-14 21:14:41
Command Prompt - py  reader.py,2023-12-14 21:14:46
Command Prompt,2023-12-14 21:14:47
*info.txt - Notepad,2023-12-14 21:14:49
reader.py - ttracker - Visual Studio Code,2023-12-14 21:14:50
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:14:52
*info.txt - Notepad,2023-12-14 21:14:57
Command Prompt,2023-12-14 21:14:59
Command Prompt - py  reader.py,2023-12-14 21:15:00
Command Prompt,2023-12-14 21:15:01
Search,2023-12-14 21:15:04
Calculator,2023-12-14 21:15:06
Command Prompt - py  reader.py,2023-12-14 21:15:23
Command Prompt,2023-12-14 21:15:24
Calculator,2023-12-14 21:15:25
Task Switching,2023-12-14 21:15:28
Command Prompt,2023-12-14 21:15:29
Calculator,2023-12-14 21:15:35
Command Prompt,2023-12-14 21:15:39
Command Prompt - py  reader.py,2023-12-14 21:19:14
Command Prompt,2023-12-14 21:19:15
Task Switching,2023-12-14 21:19:16
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:19:17
Task Switching,2023-12-14 21:19:49
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:19:51
Search,2023-12-14 21:19:54
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:19:55
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:19:56
Search,2023-12-14 21:21:53
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:21:54
WhatsApp,2023-12-14 21:21:59
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:22:12
WhatsApp,2023-12-14 21:22:13
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:22:23
Search,2023-12-14 21:25:55
ttracker,2023-12-14 21:25:56
Downloads,2023-12-14 21:25:58
a - Search Results in Downloads,2023-12-14 21:26:03
ad - Search Results in Downloads,2023-12-14 21:26:04
Downloads,2023-12-14 21:26:05
dh - Downloads,2023-12-14 21:26:06
dhaa - Downloads,2023-12-14 21:26:07
dhaar - Search Results in Downloads,2023-12-14 21:26:08
adhaar - Search Results in Downloads,2023-12-14 21:26:10
adhar - Search Results in Downloads,2023-12-14 21:26:12
aadhar - Search Results in Downloads,2023-12-14 21:26:14
Task Switching,2023-12-14 21:26:16
Untitled - Google Chrome,2023-12-14 21:26:19
Toby - Google Chrome,2023-12-14 21:26:20
Search,2023-12-14 21:26:22
WhatsApp,2023-12-14 21:26:24
Save As,2023-12-14 21:26:50
WhatsApp,2023-12-14 21:26:51
Save As,2023-12-14 21:26:53
Confirm Save As,2023-12-14 21:26:57
WhatsApp,2023-12-14 21:26:58
Downloads,2023-12-14 21:26:59
e - Downloads,2023-12-14 21:27:25
e - Search Results in Downloads,2023-12-14 21:27:26
ea - Search Results in Downloads,2023-12-14 21:27:27
ead - Search Results in Downloads,2023-12-14 21:27:28
eadhaar - Search Results in Downloads,2023-12-14 21:27:30
eaadhaar - Search Results in Downloads,2023-12-14 21:27:33
EAadhaar_2725002557955020231116102404_2311202321102_unlocked.pdf - Google Chrome,2023-12-14 21:27:36
Toby - Google Chrome,2023-12-14 21:29:14
eaadhaar - Search Results in Downloads,2023-12-14 21:29:15
Toby - Google Chrome,2023-12-14 21:29:16
eaadhaar - Search Results in Downloads,2023-12-14 21:30:17
Task Switching,2023-12-14 21:30:18
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:30:19
Task Switching,2023-12-14 21:31:01
Toby - Google Chrome,2023-12-14 21:31:02
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:31:03
Task Switching,2023-12-14 21:31:29
Toby - Google Chrome,2023-12-14 21:31:30
My Drive - Google Drive - Google Chrome,2023-12-14 21:31:38
pdrive - Google Drive - Google Chrome,2023-12-14 21:31:41
Search,2023-12-14 21:32:05
WhatsApp,2023-12-14 21:32:08
Recent download history,2023-12-14 21:32:09
pdrive - Google Drive - Google Chrome,2023-12-14 21:32:12
Search,2023-12-14 21:32:32
pdrive - Google Drive - Google Chrome,2023-12-14 21:32:33
My Drive - Google Drive - Google Chrome,2023-12-14 21:32:34
Search,2023-12-14 21:32:35
WhatsApp,2023-12-14 21:32:36
Task Switching,2023-12-14 21:32:38
Untitled - Google Chrome,2023-12-14 21:32:39
Downloads - Google Chrome,2023-12-14 21:32:40
WhatsApp,2023-12-14 21:32:41
,2023-12-14 21:32:45
Search,2023-12-14 21:32:46
Adobe Acrobat Pro (64-bit),2023-12-14 21:32:47
Downloads - Google Chrome,2023-12-14 21:32:48
Adobe Acrobat Pro (64-bit),2023-12-14 21:32:49
birth certificate & blood group (300dpi) (1).pdf - Adobe Acrobat Pro (64-bit),2023-12-14 21:32:50
Adobe Acrobat,2023-12-14 21:33:02
birth certificate & blood group (300dpi) (1).pdf - Adobe Acrobat Pro (64-bit),2023-12-14 21:33:03
Save as PDF,2023-12-14 21:33:08
birth certificate & blood group (300dpi) (1).pdf - Adobe Acrobat Pro (64-bit),2023-12-14 21:33:09
Save As,2023-12-14 21:33:10
Task Switching,2023-12-14 21:33:18
eaadhaar - Search Results in Downloads,2023-12-14 21:33:20
Downloads,2023-12-14 21:33:22
bir - Downloads,2023-12-14 21:33:26
bir - Search Results in Downloads,2023-12-14 21:33:27
birth - Search Results in Downloads,2023-12-14 21:33:28
Task Switching,2023-12-14 21:33:32
WhatsApp,2023-12-14 21:33:33
Task Switching,2023-12-14 21:33:35
,2023-12-14 21:33:37
Windows Default Lock Screen,2023-12-14 21:33:38
UnlockingWindow,2023-12-14 21:45:37
,2023-12-14 21:45:38
UnlockingWindow,2023-12-14 21:45:39
,2023-12-14 21:45:40
Task Switching,2023-12-14 21:45:41
birth certificate.pdf - Adobe Acrobat Pro (64-bit),2023-12-14 21:45:42
